CAPEX_EUR_per_kWh,CAPEX_EUR,NPV_EUR,IRR
160.0,16000000.0,12841364.668689465,0.20477913114212387
180.0,18000000.0,10841364.668689465,0.17542297067007268
200.0,20000000.0,8841364.668689467,0.1513033853538152
225.0,22500000.0,6341364.668689467,0.1264274305706283
250.0,25000000.0,3841364.668689467,0.10581502195800485
