month,intervals,total_revenue_eur,charging_cost_eur,discharge_revenue_eur,energy_charged_mwh,energy_discharged_mwh,efc,max_daily_discharge_mwh,max_soc_mwh,min_soc_mwh,round_trip_energy_ratio,equivalent_full_cycles,revenue_per_mw_month,revenue_per_mwh_capacity_month
2026-04,2880,466271.39170349576,24327.019496323097,490598.4111998189,3333.3333333333335,3000.0000000000023,30.00000000000002,100.00000000000202,90.00000000000087,9.999999999999256,0.9000000000000007,30.00000000000002,9325.427834069915,4662.713917034957
2026-06,2880,531040.2448683265,146501.9341984925,677542.179066819,3333.3333333333335,3000.0,30.0,100.0,90.00000000000003,9.99999999999999,0.8999999999999999,30.0,10620.80489736653,5310.402448683265
2026-03,2972,418588.15176030307,123275.3722958543,541863.5240561573,3444.4444444444443,3100.0,31.0,100.0,90.0,10.0,0.9,31.0,8371.76303520606,4185.88151760303
