revenue_multiplier,annual_revenue_eur,NPV_EUR,IRR
0.65,2975085.0007683607,-3050603.4898163816,0.052606274355264354
0.8,3661643.0778687517,2045954.2924004104,0.0973838397085626
1.0,4577053.847335939,8841364.668689467,0.1513033853538152
1.15,5263611.92443633,13937922.450906256,0.18920941190639118
1.2,5492464.616803127,15636775.044978525,0.20152080348074045
