timestamp_utc,day_ahead_price_eur_mwh,resolution,timestamp_local,date,hour,month,month_name,day_of_week,price_change_eur_mwh,absolute_price_change_eur_mwh
2025-10-01 06:30:00+00:00,117.23,PT15M,2025-10-01 08:30:00+02:00,2025-10-01,8,10,October,Wednesday,-25.63000000000001,25.63000000000001
2025-10-01 06:45:00+00:00,95.25,PT15M,2025-10-01 08:45:00+02:00,2025-10-01,8,10,October,Wednesday,-21.980000000000004,21.980000000000004
2025-10-01 07:00:00+00:00,139.01,PT15M,2025-10-01 09:00:00+02:00,2025-10-01,9,10,October,Wednesday,43.75999999999999,43.75999999999999
2025-10-01 07:15:00+00:00,105.01,PT15M,2025-10-01 09:15:00+02:00,2025-10-01,9,10,October,Wednesday,-33.999999999999986,33.999999999999986
2025-10-01 07:30:00+00:00,93.48,PT15M,2025-10-01 09:30:00+02:00,2025-10-01,9,10,October,Wednesday,-11.530000000000001,11.530000000000001
2025-10-01 07:45:00+00:00,79.96,PT15M,2025-10-01 09:45:00+02:00,2025-10-01,9,10,October,Wednesday,-13.52000000000001,13.52000000000001
2025-10-01 08:00:00+00:00,102.82,PT15M,2025-10-01 10:00:00+02:00,2025-10-01,10,10,October,Wednesday,22.86,22.86
2025-10-01 08:15:00+00:00,89.23,PT15M,2025-10-01 10:15:00+02:00,2025-10-01,10,10,October,Wednesday,-13.58999999999999,13.58999999999999
2025-10-01 08:30:00+00:00,78.16,PT15M,2025-10-01 10:30:00+02:00,2025-10-01,10,10,October,Wednesday,-11.070000000000007,11.070000000000007
2025-10-01 08:45:00+00:00,63.7,PT15M,2025-10-01 10:45:00+02:00,2025-10-01,10,10,October,Wednesday,-14.459999999999994,14.459999999999994
2025-10-01 09:00:00+00:00,79.97,PT15M,2025-10-01 11:00:00+02:00,2025-10-01,11,10,October,Wednesday,16.269999999999996,16.269999999999996
2025-10-01 09:15:00+00:00,68.06,PT15M,2025-10-01 11:15:00+02:00,2025-10-01,11,10,October,Wednesday,-11.909999999999997,11.909999999999997
2025-10-01 09:30:00+00:00,61.13,PT15M,2025-10-01 11:30:00+02:00,2025-10-01,11,10,October,Wednesday,-6.93,6.93
2025-10-01 09:45:00+00:00,56.19,PT15M,2025-10-01 11:45:00+02:00,2025-10-01,11,10,October,Wednesday,-4.940000000000005,4.940000000000005
2025-10-01 10:00:00+00:00,61.69,PT15M,2025-10-01 12:00:00+02:00,2025-10-01,12,10,October,Wednesday,5.5,5.5
2025-10-01 10:15:00+00:00,57.42,PT15M,2025-10-01 12:15:00+02:00,2025-10-01,12,10,October,Wednesday,-4.269999999999996,4.269999999999996
2025-10-01 10:30:00+00:00,57.86,PT15M,2025-10-01 12:30:00+02:00,2025-10-01,12,10,October,Wednesday,0.4399999999999977,0.4399999999999977
2025-10-01 10:45:00+00:00,57.42,PT15M,2025-10-01 12:45:00+02:00,2025-10-01,12,10,October,Wednesday,-0.4399999999999977,0.4399999999999977
2025-10-01 11:00:00+00:00,57.09,PT15M,2025-10-01 13:00:00+02:00,2025-10-01,13,10,October,Wednesday,-0.3299999999999983,0.3299999999999983
2025-10-01 11:15:00+00:00,58.78,PT15M,2025-10-01 13:15:00+02:00,2025-10-01,13,10,October,Wednesday,1.6899999999999977,1.6899999999999977
2025-10-01 11:30:00+00:00,60.07,PT15M,2025-10-01 13:30:00+02:00,2025-10-01,13,10,October,Wednesday,1.2899999999999991,1.2899999999999991
2025-10-01 11:45:00+00:00,61.14,PT15M,2025-10-01 13:45:00+02:00,2025-10-01,13,10,October,Wednesday,1.0700000000000003,1.0700000000000003
2025-10-01 12:00:00+00:00,54.35,PT15M,2025-10-01 14:00:00+02:00,2025-10-01,14,10,October,Wednesday,-6.789999999999999,6.789999999999999
2025-10-01 12:15:00+00:00,60.62,PT15M,2025-10-01 14:15:00+02:00,2025-10-01,14,10,October,Wednesday,6.269999999999996,6.269999999999996
2025-10-01 12:30:00+00:00,64.4,PT15M,2025-10-01 14:30:00+02:00,2025-10-01,14,10,October,Wednesday,3.7800000000000082,3.7800000000000082
2025-10-01 12:45:00+00:00,71.9,PT15M,2025-10-01 14:45:00+02:00,2025-10-01,14,10,October,Wednesday,7.5,7.5
2025-10-01 13:00:00+00:00,57.55,PT15M,2025-10-01 15:00:00+02:00,2025-10-01,15,10,October,Wednesday,-14.350000000000009,14.350000000000009
2025-10-01 13:15:00+00:00,66.28,PT15M,2025-10-01 15:15:00+02:00,2025-10-01,15,10,October,Wednesday,8.730000000000004,8.730000000000004
2025-10-01 13:30:00+00:00,77.91,PT15M,2025-10-01 15:30:00+02:00,2025-10-01,15,10,October,Wednesday,11.629999999999995,11.629999999999995
2025-10-01 13:45:00+00:00,88.62,PT15M,2025-10-01 15:45:00+02:00,2025-10-01,15,10,October,Wednesday,10.710000000000008,10.710000000000008
2025-10-01 14:00:00+00:00,55.07,PT15M,2025-10-01 16:00:00+02:00,2025-10-01,16,10,October,Wednesday,-33.550000000000004,33.550000000000004
2025-10-01 14:15:00+00:00,80.77,PT15M,2025-10-01 16:15:00+02:00,2025-10-01,16,10,October,Wednesday,25.699999999999996,25.699999999999996
2025-10-01 14:30:00+00:00,95.16,PT15M,2025-10-01 16:30:00+02:00,2025-10-01,16,10,October,Wednesday,14.39,14.39
2025-10-01 14:45:00+00:00,109.0,PT15M,2025-10-01 16:45:00+02:00,2025-10-01,16,10,October,Wednesday,13.840000000000003,13.840000000000003
2025-10-01 15:00:00+00:00,76.45,PT15M,2025-10-01 17:00:00+02:00,2025-10-01,17,10,October,Wednesday,-32.55,32.55
2025-10-01 15:15:00+00:00,106.42,PT15M,2025-10-01 17:15:00+02:00,2025-10-01,17,10,October,Wednesday,29.97,29.97
2025-10-01 15:30:00+00:00,139.35,PT15M,2025-10-01 17:30:00+02:00,2025-10-01,17,10,October,Wednesday,32.92999999999999,32.92999999999999
2025-10-01 15:45:00+00:00,190.18,PT15M,2025-10-01 17:45:00+02:00,2025-10-01,17,10,October,Wednesday,50.83000000000001,50.83000000000001
2025-10-01 16:00:00+00:00,141.68,PT15M,2025-10-01 18:00:00+02:00,2025-10-01,18,10,October,Wednesday,-48.5,48.5
2025-10-01 16:15:00+00:00,192.84,PT15M,2025-10-01 18:15:00+02:00,2025-10-01,18,10,October,Wednesday,51.16,51.16
2025-10-01 16:30:00+00:00,285.0,PT15M,2025-10-01 18:30:00+02:00,2025-10-01,18,10,October,Wednesday,92.16,92.16
2025-10-01 16:45:00+00:00,381.0,PT15M,2025-10-01 18:45:00+02:00,2025-10-01,18,10,October,Wednesday,96.0,96.0
2025-10-01 17:00:00+00:00,408.5,PT15M,2025-10-01 19:00:00+02:00,2025-10-01,19,10,October,Wednesday,27.5,27.5
2025-10-01 17:15:00+00:00,376.39,PT15M,2025-10-01 19:15:00+02:00,2025-10-01,19,10,October,Wednesday,-32.110000000000014,32.110000000000014
2025-10-01 17:30:00+00:00,321.94,PT15M,2025-10-01 19:30:00+02:00,2025-10-01,19,10,October,Wednesday,-54.44999999999999,54.44999999999999
2025-10-01 17:45:00+00:00,253.14,PT15M,2025-10-01 19:45:00+02:00,2025-10-01,19,10,October,Wednesday,-68.80000000000001,68.80000000000001
2025-10-01 18:00:00+00:00,217.5,PT15M,2025-10-01 20:00:00+02:00,2025-10-01,20,10,October,Wednesday,-35.639999999999986,35.639999999999986
2025-10-01 18:15:00+00:00,154.56,PT15M,2025-10-01 20:15:00+02:00,2025-10-01,20,10,October,Wednesday,-62.94,62.94
2025-10-01 18:30:00+00:00,123.11,PT15M,2025-10-01 20:30:00+02:00,2025-10-01,20,10,October,Wednesday,-31.450000000000003,31.450000000000003
2025-10-01 18:45:00+00:00,104.83,PT15M,2025-10-01 20:45:00+02:00,2025-10-01,20,10,October,Wednesday,-18.28,18.28
2025-10-01 19:00:00+00:00,125.76,PT15M,2025-10-01 21:00:00+02:00,2025-10-01,21,10,October,Wednesday,20.930000000000007,20.930000000000007
2025-10-01 19:15:00+00:00,115.82,PT15M,2025-10-01 21:15:00+02:00,2025-10-01,21,10,October,Wednesday,-9.940000000000012,9.940000000000012
2025-10-01 19:30:00+00:00,97.54,PT15M,2025-10-01 21:30:00+02:00,2025-10-01,21,10,October,Wednesday,-18.279999999999987,18.279999999999987
2025-10-01 19:45:00+00:00,87.96,PT15M,2025-10-01 21:45:00+02:00,2025-10-01,21,10,October,Wednesday,-9.580000000000013,9.580000000000013
2025-10-01 20:00:00+00:00,106.69,PT15M,2025-10-01 22:00:00+02:00,2025-10-01,22,10,October,Wednesday,18.730000000000004,18.730000000000004
2025-10-01 20:15:00+00:00,98.76,PT15M,2025-10-01 22:15:00+02:00,2025-10-01,22,10,October,Wednesday,-7.929999999999993,7.929999999999993
2025-10-01 20:30:00+00:00,95.32,PT15M,2025-10-01 22:30:00+02:00,2025-10-01,22,10,October,Wednesday,-3.440000000000012,3.440000000000012
2025-10-01 20:45:00+00:00,88.02,PT15M,2025-10-01 22:45:00+02:00,2025-10-01,22,10,October,Wednesday,-7.299999999999997,7.299999999999997
2025-10-01 21:00:00+00:00,93.53,PT15M,2025-10-01 23:00:00+02:00,2025-10-01,23,10,October,Wednesday,5.510000000000005,5.510000000000005
2025-10-01 21:15:00+00:00,88.75,PT15M,2025-10-01 23:15:00+02:00,2025-10-01,23,10,October,Wednesday,-4.780000000000001,4.780000000000001
2025-10-01 21:30:00+00:00,90.62,PT15M,2025-10-01 23:30:00+02:00,2025-10-01,23,10,October,Wednesday,1.8700000000000045,1.8700000000000045
2025-10-01 21:45:00+00:00,82.6,PT15M,2025-10-01 23:45:00+02:00,2025-10-01,23,10,October,Wednesday,-8.02000000000001,8.02000000000001
2025-10-01 22:00:00+00:00,99.17,PT15M,2025-10-02 00:00:00+02:00,2025-10-02,0,10,October,Thursday,16.570000000000007,16.570000000000007
2025-10-01 22:15:00+00:00,88.52,PT15M,2025-10-02 00:15:00+02:00,2025-10-02,0,10,October,Thursday,-10.650000000000006,10.650000000000006
2025-10-01 22:30:00+00:00,82.45,PT15M,2025-10-02 00:30:00+02:00,2025-10-02,0,10,October,Thursday,-6.069999999999993,6.069999999999993
2025-10-01 22:45:00+00:00,79.71,PT15M,2025-10-02 00:45:00+02:00,2025-10-02,0,10,October,Thursday,-2.740000000000009,2.740000000000009
2025-10-01 23:00:00+00:00,91.19,PT15M,2025-10-02 01:00:00+02:00,2025-10-02,1,10,October,Thursday,11.480000000000004,11.480000000000004
2025-10-01 23:15:00+00:00,85.75,PT15M,2025-10-02 01:15:00+02:00,2025-10-02,1,10,October,Thursday,-5.439999999999998,5.439999999999998
2025-10-01 23:30:00+00:00,81.41,PT15M,2025-10-02 01:30:00+02:00,2025-10-02,1,10,October,Thursday,-4.340000000000003,4.340000000000003
2025-10-01 23:45:00+00:00,80.93,PT15M,2025-10-02 01:45:00+02:00,2025-10-02,1,10,October,Thursday,-0.47999999999998977,0.47999999999998977
2025-10-02 00:00:00+00:00,85.44,PT15M,2025-10-02 02:00:00+02:00,2025-10-02,2,10,October,Thursday,4.509999999999991,4.509999999999991
2025-10-02 00:15:00+00:00,80.36,PT15M,2025-10-02 02:15:00+02:00,2025-10-02,2,10,October,Thursday,-5.079999999999998,5.079999999999998
2025-10-02 00:30:00+00:00,80.19,PT15M,2025-10-02 02:30:00+02:00,2025-10-02,2,10,October,Thursday,-0.1700000000000017,0.1700000000000017
2025-10-02 00:45:00+00:00,79.4,PT15M,2025-10-02 02:45:00+02:00,2025-10-02,2,10,October,Thursday,-0.789999999999992,0.789999999999992
2025-10-02 01:00:00+00:00,82.24,PT15M,2025-10-02 03:00:00+02:00,2025-10-02,3,10,October,Thursday,2.839999999999989,2.839999999999989
2025-10-02 01:15:00+00:00,79.77,PT15M,2025-10-02 03:15:00+02:00,2025-10-02,3,10,October,Thursday,-2.469999999999999,2.469999999999999
2025-10-02 01:45:00+00:00,76.55,PT15M,2025-10-02 03:45:00+02:00,2025-10-02,3,10,October,Thursday,-3.219999999999999,3.219999999999999
2025-10-02 02:00:00+00:00,79.39,PT15M,2025-10-02 04:00:00+02:00,2025-10-02,4,10,October,Thursday,2.8400000000000034,2.8400000000000034
2025-10-02 02:15:00+00:00,81.45,PT15M,2025-10-02 04:15:00+02:00,2025-10-02,4,10,October,Thursday,2.0600000000000023,2.0600000000000023
2025-10-02 02:30:00+00:00,85.08,PT15M,2025-10-02 04:30:00+02:00,2025-10-02,4,10,October,Thursday,3.6299999999999955,3.6299999999999955
2025-10-02 02:45:00+00:00,85.82,PT15M,2025-10-02 04:45:00+02:00,2025-10-02,4,10,October,Thursday,0.7399999999999949,0.7399999999999949
2025-10-02 03:00:00+00:00,79.4,PT15M,2025-10-02 05:00:00+02:00,2025-10-02,5,10,October,Thursday,-6.4199999999999875,6.4199999999999875
2025-10-02 03:15:00+00:00,85.57,PT15M,2025-10-02 05:15:00+02:00,2025-10-02,5,10,October,Thursday,6.1699999999999875,6.1699999999999875
2025-10-02 03:30:00+00:00,92.72,PT15M,2025-10-02 05:30:00+02:00,2025-10-02,5,10,October,Thursday,7.150000000000006,7.150000000000006
